rank,company,posting_records,share_of_records,cumulative_share
76,Avnet,21,0.0021536252692031586,0.3528868833965747
77,Centific,21,0.0021536252692031586,0.35504050866577785
78,Al Warren Oil Company,20,0.002051071684955389,0.35709158035073324
79,Parsons,20,0.002051071684955389,0.3591426520356886
80,Roche,20,0.002051071684955389,0.361193723720644
81,ABB,20,0.002051071684955389,0.36324479540559945
82,Bose,20,0.002051071684955389,0.36529586709055484
83,Commonwealth of Massachusetts,20,0.002051071684955389,0.3673469387755102
84,PlusAI,20,0.002051071684955389,0.3693980104604656
85,Visa,19,0.0019485181007076198,0.37134652856117323
86,Zoox,19,0.0019485181007076198,0.37329504666188085
87,Draper,19,0.0019485181007076198,0.37524356476258847
88,Manulife Financial,19,0.0019485181007076198,0.3771920828632961
89,Ripple,19,0.0019485181007076198,0.3791406009640037
90,Lumentum,19,0.0019485181007076198,0.3810891190647113
91,The Boeing Company,19,0.0019485181007076198,0.38303763716541894
92,Cotiviti,19,0.0019485181007076198,0.38498615526612656
93,Lawrence Livermore National Laboratory (LLNL),19,0.0019485181007076198,0.3869346733668342
94,Netflix,18,0.0018459645164598502,0.38878063788329403
95,Cloudflare,18,0.0018459645164598502,0.3906266023997539
96,BorgWarner,18,0.0018459645164598502,0.39247256691621374
97,Marvell,18,0.0018459645164598502,0.3943185314326736
98,Schweitzer Engineering Laboratories,18,0.0018459645164598502,0.39616449594913344
99,HNTB,18,0.0018459645164598502,0.3980104604655933
100,Proofpoint,18,0.0018459645164598502,0.39985642498205315
101,Resmed,18,0.0018459645164598502,0.40170238949851295
102,AAA Club Alliance,18,0.0018459645164598502,0.4035483540149728
103,Dover,18,0.0018459645164598502,0.40539431853143265
104,Carnegie Mellon University,17,0.0017434109322120809,0.40713772946364474
105,NXP Semiconductors,17,0.0017434109322120809,0.4088811403958568
106,AbbVie,17,0.0017434109322120809,0.4106245513280689
107,Teledyne,17,0.0017434109322120809,0.412367962260281
108,HERE Technologies,17,0.0017434109322120809,0.4141113731924931
109,Adobe,16,0.0016408573479643114,0.4157522305404574
110,Johnson Controls,16,0.0016408573479643114,0.4173930878884217
111,Rivian,16,0.0016408573479643114,0.419033945236386
112,CCC Intelligent Solutions,16,0.0016408573479643114,0.4206748025843503
113,Salesforce,16,0.0016408573479643114,0.4223156599323146
114,Philips,15,0.0015383037637165418,0.4238539636960312
115,Corsair,15,0.0015383037637165418,0.42539226745974773
116,The Coca-Cola Company,15,0.0015383037637165418,0.4269305712234643
117,Emerson Electric,15,0.0015383037637165418,0.4284688749871808
118,Pennsylvania State University,15,0.0015383037637165418,0.43000717875089733
119,Intelcom | Dragonfly,15,0.0015383037637165418,0.4315454825146139
120,AstraZeneca,14,0.0014357501794687725,0.4329812326940827
121,Waters Corporation,14,0.0014357501794687725,0.4344169828735514
122,Electronic Arts,14,0.0014357501794687725,0.4358527330530202
123,Paramount Global,14,0.0014357501794687725,0.437288483232489
124,ASSA ABLOY,14,0.0014357501794687725,0.43872423341195776
125,onsemi,14,0.0014357501794687725,0.4401599835914265
126,Fidelity Investments,14,0.0014357501794687725,0.4415957337708953
127,W.R. Berkley,14,0.0014357501794687725,0.44303148395036407
128,Alo Yoga,14,0.0014357501794687725,0.44446723412983286
129,EquipmentShare,14,0.0014357501794687725,0.4459029843093016
130,Apple,14,0.0014357501794687725,0.4473387344887704
131,The Federal Reserve System,13,0.001333196595221003,0.4486719310839914
132,AECOM,13,0.001333196595221003,0.4500051276792124
133,Keysight Technologies,13,0.001333196595221003,0.4513383242744334
134,Generac,13,0.001333196595221003,0.4526715208696544
135,Red Bull,13,0.001333196595221003,0.4540047174648754
136,Rockwell Automation,13,0.001333196595221003,0.4553379140600964
137,Toyota Research Institute,12,0.0012306430109732336,0.45656855707106964
138,Okta,12,0.0012306430109732336,0.4577992000820429
139,Lucid Motors,12,0.0012306430109732336,0.4590298430930161
140,AeroVironment,12,0.0012306430109732336,0.46026048610398934
141,Howmet Aerospace,12,0.0012306430109732336,0.4614911291149626
